crop_name,location,price,quantity_kg,month,week,year,date,season,demand,is_peak_season
Lady Finger,Thanjavur,41.58,550.3,1,52,2022,2022-01-01,Rabi,Medium,0
Banana,Chennai,39.05,905.8,1,52,2022,2022-01-01,Rabi,Medium,0
Banana,Madurai,42.57,541.9,1,52,2022,2022-01-02,Rabi,Medium,0
Cotton,Thanjavur,52.72,670.4,1,52,2022,2022-01-02,Rabi,Medium,0
Chilli,Erode,135.75,586.7,1,52,2022,2022-01-02,Rabi,Medium,1
Banana,Coimbatore,42.1,253.9,1,1,2022,2022-01-03,Rabi,Medium,0
Brinjal,Chennai,23.1,608.2,1,1,2022,2022-01-03,Rabi,High,0
Groundnut,Dindigul,70.21,371.5,1,1,2022,2022-01-04,Rabi,Medium,0
Sugarcane,Tirunelveli,3.84,328.2,1,1,2022,2022-01-04,Rabi,Medium,0
Potato,Erode,31.89,439.3,1,1,2022,2022-01-04,Rabi,Medium,1
Banana,Salem,39.57,825.6,1,1,2022,2022-01-05,Rabi,Medium,0
Potato,Tirunelveli,35.31,479.5,1,1,2022,2022-01-05,Rabi,Low,1
Cotton,Coimbatore,55.04,493.4,1,1,2022,2022-01-05,Rabi,Medium,0
Sugarcane,Thanjavur,3.33,379.7,1,1,2022,2022-01-06,Rabi,High,0
Groundnut,Salem,66.35,490.8,1,1,2022,2022-01-07,Rabi,Medium,0
Carrot,Trichy,62.88,531.9,1,1,2022,2022-01-07,Rabi,Medium,1
Groundnut,Trichy,64.23,728.2,1,1,2022,2022-01-07,Rabi,Medium,0
Brinjal,Madurai,27.78,387.0,1,1,2022,2022-01-07,Rabi,Medium,0
Lady Finger,Salem,35.88,762.2,1,1,2022,2022-01-07,Rabi,High,0
Tomato,Vellore,29.62,428.9,1,1,2022,2022-01-08,Rabi,High,0
Potato,Salem,32.55,220.4,1,1,2022,2022-01-09,Rabi,Low,1
Potato,Thanjavur,32.82,376.5,1,1,2022,2022-01-09,Rabi,Low,1
Coconut,Salem,27.88,770.5,1,1,2022,2022-01-09,Rabi,Medium,0
Potato,Erode,36.06,307.2,1,1,2022,2022-01-09,Rabi,Low,1
Cotton,Dindigul,55.99,634.4,1,2,2022,2022-01-10,Rabi,Medium,0
Groundnut,Madurai,67.07,603.8,1,2,2022,2022-01-10,Rabi,Medium,0
Tomato,Dindigul,36.33,10.0,1,2,2022,2022-01-10,Rabi,Medium,0
Brinjal,Tirunelveli,26.36,571.0,1,2,2022,2022-01-10,Rabi,Medium,0
Onion,Chennai,42.32,430.5,1,2,2022,2022-01-11,Rabi,Low,1
Tomato,Madurai,36.73,439.7,1,2,2022,2022-01-11,Rabi,Medium,0
Potato,Dindigul,35.79,511.1,1,2,2022,2022-01-11,Rabi,Low,1
Sugarcane,Chennai,3.07,950.5,1,2,2022,2022-01-11,Rabi,High,0
Coconut,Madurai,27.94,443.6,1,2,2022,2022-01-11,Rabi,Medium,0
Cabbage,Trichy,22.85,362.7,1,2,2022,2022-01-12,Rabi,Medium,1
Lady Finger,Chennai,39.05,372.7,1,2,2022,2022-01-12,Rabi,Medium,0
Tomato,Vellore,30.64,539.9,1,2,2022,2022-01-13,Rabi,High,0
Onion,Thanjavur,43.79,457.0,1,2,2022,2022-01-13,Rabi,Low,1
Sugarcane,Trichy,3.58,663.6,1,2,2022,2022-01-14,Rabi,Medium,0
Coconut,Trichy,26.99,898.3,1,2,2022,2022-01-14,Rabi,Medium,0
Cauliflower,Salem,48.55,482.4,1,2,2022,2022-01-14,Rabi,Low,1
Potato,Trichy,29.83,487.6,1,2,2022,2022-01-14,Rabi,Medium,1
Carrot,Salem,65.17,541.6,1,2,2022,2022-01-15,Rabi,Low,1
Carrot,Salem,68.65,342.7,1,2,2022,2022-01-15,Rabi,Low,1
Tomato,Trichy,30.18,706.0,1,2,2022,2022-01-15,Rabi,High,0
Onion,Erode,40.67,516.8,1,2,2022,2022-01-15,Rabi,Low,1
Chilli,Coimbatore,151.51,407.9,1,2,2022,2022-01-16,Rabi,Low,1
Carrot,Coimbatore,54.99,430.4,1,2,2022,2022-01-16,Rabi,Medium,1
Groundnut,Dindigul,68.1,440.3,1,2,2022,2022-01-16,Rabi,Medium,0
Cauliflower,Tirunelveli,45.24,344.8,1,2,2022,2022-01-16,Rabi,Low,1
Sugarcane,Thanjavur,3.53,292.7,1,3,2022,2022-01-17,Rabi,Medium,0
Lady Finger,Dindigul,40.25,572.0,1,3,2022,2022-01-18,Rabi,Medium,0
Potato,Dindigul,31.91,544.4,1,3,2022,2022-01-18,Rabi,Medium,1
Cotton,Salem,52.01,638.3,1,3,2022,2022-01-19,Rabi,Medium,0
Sugarcane,Madurai,4.03,498.5,1,3,2022,2022-01-19,Rabi,Medium,0
Groundnut,Vellore,72.79,653.5,1,3,2022,2022-01-19,Rabi,Medium,0
Tomato,Vellore,38.05,590.1,1,3,2022,2022-01-20,Rabi,Medium,0
Cabbage,Chennai,26.71,478.9,1,3,2022,2022-01-20,Rabi,Low,1
Chilli,Coimbatore,165.94,673.2,1,3,2022,2022-01-20,Rabi,Low,1
Coconut,Coimbatore,25.49,649.8,1,3,2022,2022-01-20,Rabi,High,0
Brinjal,Chennai,26.88,608.0,1,3,2022,2022-01-20,Rabi,Medium,0
Coconut,Erode,25.4,722.5,1,3,2022,2022-01-20,Rabi,High,0
Potato,Trichy,32.52,372.6,1,3,2022,2022-01-21,Rabi,Low,1
Carrot,Tirunelveli,70.91,503.9,1,3,2022,2022-01-21,Rabi,Low,1
Brinjal,Erode,24.75,858.5,1,3,2022,2022-01-22,Rabi,High,0
Groundnut,Chennai,66.25,548.8,1,3,2022,2022-01-22,Rabi,Medium,0
Rice,Chennai,30.5,410.2,1,3,2022,2022-01-22,Rabi,Medium,0
Cauliflower,Erode,37.18,666.4,1,3,2022,2022-01-22,Rabi,Medium,1
Rice,Dindigul,28.18,630.3,1,3,2022,2022-01-23,Rabi,High,0
Coconut,Vellore,24.91,865.1,1,3,2022,2022-01-23,Rabi,High,0
Sugarcane,Dindigul,3.25,412.9,1,4,2022,2022-01-24,Rabi,High,0
Potato,Madurai,32.64,733.1,1,4,2022,2022-01-24,Rabi,Low,1
Groundnut,Vellore,68.45,588.3,1,4,2022,2022-01-25,Rabi,Medium,0
Groundnut,Vellore,68.88,779.4,1,4,2022,2022-01-25,Rabi,Medium,0
Chilli,Chennai,140.22,449.9,1,4,2022,2022-01-25,Rabi,Low,1
Tomato,Coimbatore,32.29,470.1,1,4,2022,2022-01-25,Rabi,High,0
Cabbage,Tirunelveli,25.34,413.2,1,4,2022,2022-01-25,Rabi,Low,1
Coconut,Vellore,26.55,774.7,1,4,2022,2022-01-26,Rabi,Medium,0
Coconut,Vellore,25.83,247.3,1,4,2022,2022-01-26,Rabi,Medium,0
Banana,Dindigul,39.9,465.8,1,4,2022,2022-01-26,Rabi,Medium,0
Cabbage,Madurai,25.63,476.1,1,4,2022,2022-01-26,Rabi,Low,1
Rice,Chennai,33.15,1049.3,1,4,2022,2022-01-27,Rabi,Medium,0
Cauliflower,Tirunelveli,44.78,395.6,1,4,2022,2022-01-27,Rabi,Low,1
Cabbage,Madurai,26.09,201.2,1,4,2022,2022-01-27,Rabi,Low,1
Carrot,Coimbatore,71.78,444.1,1,4,2022,2022-01-27,Rabi,Low,1
Tomato,Salem,35.84,818.0,1,4,2022,2022-01-27,Rabi,Medium,0
Potato,Dindigul,34.05,342.0,1,4,2022,2022-01-28,Rabi,Low,1
Groundnut,Coimbatore,71.66,337.9,1,4,2022,2022-01-28,Rabi,Medium,0
Tomato,Coimbatore,35.93,768.5,1,4,2022,2022-01-28,Rabi,Medium,0
Sugarcane,Vellore,3.84,427.0,1,4,2022,2022-01-29,Rabi,Medium,0
Onion,Tirunelveli,39.0,287.4,1,4,2022,2022-01-29,Rabi,Medium,1
Banana,Madurai,35.99,835.9,1,4,2022,2022-01-29,Rabi,High,0
Carrot,Coimbatore,69.82,487.9,1,4,2022,2022-01-29,Rabi,Low,1
Banana,Trichy,39.78,590.0,1,4,2022,2022-01-30,Rabi,Medium,0
Cabbage,Vellore,22.74,487.9,1,4,2022,2022-01-30,Rabi,Medium,1
Coconut,Dindigul,24.75,493.2,1,4,2022,2022-01-30,Rabi,High,0
Rice,Madurai,31.03,446.1,1,4,2022,2022-01-30,Rabi,Medium,0
Tomato,Thanjavur,32.78,698.3,1,5,2022,2022-01-31,Rabi,High,0
Onion,Madurai,42.71,362.3,1,5,2022,2022-01-31,Rabi,Low,1
Chilli,Madurai,135.76,394.1,1,5,2022,2022-01-31,Rabi,Medium,1
Lady Finger,Erode,42.48,899.6,2,5,2022,2022-02-01,Rabi,Medium,0
Cotton,Trichy,54.2,212.2,2,5,2022,2022-02-01,Rabi,Medium,0
Rice,Coimbatore,29.83,443.5,2,5,2022,2022-02-02,Rabi,Medium,0
Cauliflower,Vellore,34.42,663.2,2,5,2022,2022-02-02,Rabi,Medium,0
Carrot,Vellore,50.16,570.9,2,5,2022,2022-02-02,Rabi,Medium,0
Coconut,Erode,26.74,448.7,2,5,2022,2022-02-02,Rabi,Medium,0
Carrot,Thanjavur,46.49,729.9,2,5,2022,2022-02-03,Rabi,High,0
Chilli,Vellore,133.62,491.3,2,5,2022,2022-02-03,Rabi,Medium,1
Potato,Coimbatore,25.58,578.7,2,5,2022,2022-02-03,Rabi,Medium,0
Onion,Thanjavur,42.86,392.1,2,5,2022,2022-02-03,Rabi,Low,1
Banana,Dindigul,40.16,375.6,2,5,2022,2022-02-03,Rabi,Medium,0
Onion,Erode,48.3,272.4,2,5,2022,2022-02-03,Rabi,Low,1
Cabbage,Erode,25.27,387.9,2,5,2022,2022-02-03,Rabi,Low,1
Coconut,Vellore,26.99,669.3,2,5,2022,2022-02-04,Rabi,Medium,0
Groundnut,Chennai,59.71,359.3,2,5,2022,2022-02-04,Rabi,High,0
Lady Finger,Dindigul,41.9,505.4,2,5,2022,2022-02-05,Rabi,Medium,0
Tomato,Salem,36.27,562.8,2,5,2022,2022-02-05,Rabi,Medium,0
Cabbage,Madurai,20.85,621.0,2,5,2022,2022-02-05,Rabi,Medium,1
Sugarcane,Madurai,3.29,573.1,2,6,2022,2022-02-07,Rabi,High,0
Groundnut,Erode,69.25,759.6,2,6,2022,2022-02-08,Rabi,Medium,0
Tomato,Coimbatore,37.42,565.8,2,6,2022,2022-02-08,Rabi,Medium,0
Sugarcane,Madurai,3.77,404.5,2,6,2022,2022-02-08,Rabi,Medium,0
Cauliflower,Tirunelveli,33.35,688.2,2,6,2022,2022-02-09,Rabi,Medium,0
Coconut,Thanjavur,27.92,439.6,2,6,2022,2022-02-09,Rabi,Medium,0
Cabbage,Erode,23.68,519.8,2,6,2022,2022-02-10,Rabi,Low,1
Tomato,Salem,33.51,297.7,2,6,2022,2022-02-10,Rabi,High,0
Rice,Salem,30.03,576.5,2,6,2022,2022-02-11,Rabi,Medium,0
Sugarcane,Tirunelveli,3.9,675.1,2,6,2022,2022-02-12,Rabi,Medium,0
Onion,Tirunelveli,46.98,443.5,2,6,2022,2022-02-12,Rabi,Low,1
Sugarcane,Salem,3.37,819.4,2,6,2022,2022-02-13,Rabi,High,0
Onion,Coimbatore,40.49,529.7,2,6,2022,2022-02-13,Rabi,Low,1
Banana,Salem,38.0,735.7,2,6,2022,2022-02-13,Rabi,High,0
Coconut,Dindigul,25.84,649.5,2,6,2022,2022-02-13,Rabi,Medium,0
Lady Finger,Coimbatore,39.86,221.4,2,6,2022,2022-02-13,Rabi,Medium,0
Rice,Dindigul,31.66,458.2,2,6,2022,2022-02-13,Rabi,Medium,0
Onion,Vellore,45.62,346.5,2,6,2022,2022-02-13,Rabi,Low,1
Banana,Trichy,41.83,336.0,2,7,2022,2022-02-14,Rabi,Medium,0
Cotton,Trichy,57.34,785.3,2,7,2022,2022-02-14,Rabi,Medium,0
Potato,Salem,20.71,338.6,2,7,2022,2022-02-14,Rabi,High,0
Banana,Madurai,37.79,622.1,2,7,2022,2022-02-14,Rabi,High,0
Lady Finger,Thanjavur,37.89,314.2,2,7,2022,2022-02-14,Rabi,High,0
Rice,Vellore,28.05,156.5,2,7,2022,2022-02-14,Rabi,High,0
Tomato,Thanjavur,31.57,429.6,2,7,2022,2022-02-15,Rabi,High,0
Coconut,Tirunelveli,28.08,523.7,2,7,2022,2022-02-15,Rabi,Medium,0
Rice,Coimbatore,29.79,685.2,2,7,2022,2022-02-15,Rabi,Medium,0
Sugarcane,Trichy,3.42,415.8,2,7,2022,2022-02-16,Rabi,Medium,0
Cabbage,Chennai,26.23,343.7,2,7,2022,2022-02-16,Rabi,Low,1
Lady Finger,Vellore,40.75,829.2,2,7,2022,2022-02-16,Rabi,Medium,0
Brinjal,Erode,28.16,417.9,2,7,2022,2022-02-16,Rabi,Medium,0
Rice,Chennai,27.74,464.8,2,7,2022,2022-02-17,Rabi,High,0
Tomato,Erode,39.1,332.3,2,7,2022,2022-02-17,Rabi,Medium,0
Chilli,Madurai,156.65,226.9,2,7,2022,2022-02-17,Rabi,Low,1
Cabbage,Trichy,24.43,402.5,2,7,2022,2022-02-18,Rabi,Low,1
Rice,Chennai,30.04,433.1,2,7,2022,2022-02-18,Rabi,Medium,0
Lady Finger,Madurai,34.1,477.2,2,7,2022,2022-02-18,Rabi,High,0
Tomato,Coimbatore,33.85,352.7,2,7,2022,2022-02-19,Rabi,High,0
Brinjal,Tirunelveli,26.51,523.6,2,7,2022,2022-02-19,Rabi,Medium,0
Tomato,Salem,31.5,695.0,2,7,2022,2022-02-19,Rabi,High,0
Onion,Dindigul,51.37,531.0,2,7,2022,2022-02-19,Rabi,Low,1
Sugarcane,Dindigul,3.63,542.3,2,7,2022,2022-02-19,Rabi,Medium,0
Cauliflower,Tirunelveli,28.19,673.6,2,7,2022,2022-02-20,Rabi,High,0
Banana,Tirunelveli,42.97,324.1,2,7,2022,2022-02-20,Rabi,Medium,0
Onion,Erode,45.17,536.0,2,7,2022,2022-02-20,Rabi,Low,1
Lady Finger,Coimbatore,42.61,627.3,2,8,2022,2022-02-21,Rabi,Medium,0
Coconut,Coimbatore,26.27,659.8,2,8,2022,2022-02-21,Rabi,Medium,0
Groundnut,Madurai,70.81,174.4,2,8,2022,2022-02-22,Rabi,Medium,0
Rice,Coimbatore,31.04,779.4,2,8,2022,2022-02-22,Rabi,Medium,0
Carrot,Trichy,41.79,503.2,2,8,2022,2022-02-22,Rabi,High,0
Onion,Coimbatore,35.9,564.5,2,8,2022,2022-02-22,Rabi,Medium,1
Potato,Madurai,20.3,781.0,2,8,2022,2022-02-23,Rabi,High,0
Lady Finger,Vellore,38.46,508.1,2,8,2022,2022-02-23,Rabi,Medium,0
Cauliflower,Chennai,31.38,296.7,2,8,2022,2022-02-23,Rabi,Medium,0
Onion,Vellore,45.12,372.3,2,8,2022,2022-02-23,Rabi,Low,1
Coconut,Thanjavur,26.07,604.6,2,8,2022,2022-02-23,Rabi,Medium,0
Cotton,Erode,46.73,619.7,2,8,2022,2022-02-23,Rabi,High,0
Lady Finger,Chennai,38.04,768.6,2,8,2022,2022-02-23,Rabi,High,0
Groundnut,Coimbatore,65.33,682.4,2,8,2022,2022-02-23,Rabi,Medium,0
Cauliflower,Vellore,31.86,676.0,2,8,2022,2022-02-24,Rabi,Medium,0
Tomato,Thanjavur,32.53,717.9,2,8,2022,2022-02-24,Rabi,High,0
Potato,Thanjavur,24.0,241.9,2,8,2022,2022-02-25,Rabi,Medium,0
Cotton,Dindigul,51.13,776.5,2,8,2022,2022-02-25,Rabi,Medium,0
Carrot,Thanjavur,43.77,326.9,2,8,2022,2022-02-25,Rabi,High,0
Chilli,Madurai,133.85,316.9,2,8,2022,2022-02-25,Rabi,Medium,1
Onion,Trichy,49.96,446.1,2,8,2022,2022-02-26,Rabi,Low,1
Banana,Erode,35.25,492.6,2,8,2022,2022-02-27,Rabi,High,0
Chilli,Chennai,139.28,305.3,2,8,2022,2022-02-27,Rabi,Low,1
Onion,Coimbatore,35.58,397.9,2,8,2022,2022-02-27,Rabi,Medium,1
Cotton,Vellore,55.65,652.6,2,8,2022,2022-02-27,Rabi,Medium,0
Sugarcane,Trichy,3.41,635.5,2,9,2022,2022-02-28,Rabi,Medium,0
Potato,Trichy,21.19,774.4,2,9,2022,2022-02-28,Rabi,High,0
Coconut,Salem,28.77,621.7,2,9,2022,2022-02-28,Rabi,Medium,0
Lady Finger,Madurai,38.11,524.2,2,9,2022,2022-02-28,Rabi,High,0
Carrot,Trichy,41.6,586.9,3,9,2022,2022-03-01,Rabi,High,0
Carrot,Coimbatore,50.06,563.5,3,9,2022,2022-03-01,Rabi,Medium,0
Coconut,Vellore,41.25,391.7,3,9,2022,2022-03-01,Rabi,Low,1
Potato,Trichy,26.34,303.9,3,9,2022,2022-03-01,Rabi,Medium,0
Carrot,Salem,49.0,552.4,3,9,2022,2022-03-02,Rabi,Medium,0
Cauliflower,Salem,31.9,530.2,3,9,2022,2022-03-02,Rabi,Medium,0
Sugarcane,Coimbatore,3.8,725.8,3,9,2022,2022-03-02,Rabi,Medium,0
Rice,Dindigul,30.27,423.2,3,9,2022,2022-03-02,Rabi,Medium,0
Chilli,Madurai,151.17,206.7,3,9,2022,2022-03-02,Rabi,Low,1
Groundnut,Vellore,66.95,617.3,3,9,2022,2022-03-02,Rabi,Medium,0
Brinjal,Erode,26.32,429.3,3,9,2022,2022-03-03,Rabi,Medium,0
Onion,Trichy,29.49,804.8,3,9,2022,2022-03-05,Rabi,High,0
Onion,Chennai,29.28,410.1,3,9,2022,2022-03-05,Rabi,High,0
