order_id,farmer_id,consumer_id,crop_name,price_per_kg,quantity_kg,total,amount_saved,status,date,month,year,location
order_02881,farmer_0035,consumer_0012,Onion,39.56,5.2,205.71,53.57,Delivered,2023-01-01,1,2023,Dindigul
order_00524,farmer_0037,consumer_0041,Banana,37.39,35.8,1338.56,348.95,Delivered,2023-01-01,1,2023,Coimbatore
order_01960,farmer_0002,consumer_0114,Banana,40.81,22.6,922.31,328.29,Delivered,2023-01-01,1,2023,Thanjavur
order_02296,farmer_0028,consumer_0146,Carrot,66.3,89.7,5947.11,2181.54,Delivered,2023-01-02,1,2023,Chennai
order_02457,farmer_0016,consumer_0082,Lady Finger,39.77,28.1,1117.54,327.17,Delivered,2023-01-02,1,2023,Dindigul
order_01259,farmer_0023,consumer_0042,Potato,35.03,11.4,399.34,152.33,On the way,2023-01-03,1,2023,Salem
order_01594,farmer_0001,consumer_0068,Rice,30.45,16.6,505.47,114.78,Delivered,2023-01-03,1,2023,Madurai
order_01270,farmer_0040,consumer_0076,Potato,32.54,47.0,1529.38,322.39,Delivered,2023-01-03,1,2023,Thanjavur
order_02811,farmer_0017,consumer_0103,Brinjal,25.46,22.2,565.21,147.02,Delivered,2023-01-04,1,2023,Dindigul
order_01173,farmer_0007,consumer_0103,Banana,43.1,28.4,1224.04,442.55,Delivered,2023-01-04,1,2023,Dindigul
order_02188,farmer_0038,consumer_0169,Coconut,28.06,4.3,120.66,27.58,Delivered,2023-01-05,1,2023,Salem
order_01161,farmer_0025,consumer_0119,Cauliflower,43.36,7.9,342.54,69.62,Delivered,2023-01-05,1,2023,Tirunelveli
order_02047,farmer_0011,consumer_0004,Carrot,65.96,76.4,5039.34,1856.35,Delivered,2023-01-05,1,2023,Chennai
order_01910,farmer_0008,consumer_0185,Groundnut,66.1,40.9,2703.49,769.4,Delivered,2023-01-05,1,2023,Dindigul
order_00672,farmer_0019,consumer_0094,Tomato,37.41,18.9,707.05,208.04,Processing,2023-01-05,1,2023,Vellore
order_01279,farmer_0023,consumer_0184,Rice,33.22,126.7,4208.97,1416.05,Delivered,2023-01-06,1,2023,Dindigul
order_02798,farmer_0040,consumer_0014,Sugarcane,3.45,1.0,3.45,1.26,Delivered,2023-01-06,1,2023,Erode
order_01991,farmer_0009,consumer_0192,Groundnut,69.96,2.8,195.89,53.41,Delivered,2023-01-06,1,2023,Tirunelveli
order_02543,farmer_0036,consumer_0044,Potato,33.81,1.0,33.81,7.43,Delivered,2023-01-06,1,2023,Vellore
order_01791,farmer_0024,consumer_0193,Cabbage,23.69,22.3,528.29,149.9,Delivered,2023-01-06,1,2023,Tirunelveli
order_01098,farmer_0036,consumer_0038,Lady Finger,40.96,9.7,397.31,148.3,Delivered,2023-01-06,1,2023,Coimbatore
order_01531,farmer_0043,consumer_0048,Tomato,36.21,12.6,456.25,158.87,Delivered,2023-01-07,1,2023,Coimbatore
order_01053,farmer_0046,consumer_0017,Carrot,66.55,28.9,1923.29,505.84,Delivered,2023-01-07,1,2023,Vellore
order_00118,farmer_0008,consumer_0088,Potato,33.48,18.0,602.64,158.03,Delivered,2023-01-07,1,2023,Erode
order_02098,farmer_0009,consumer_0156,Rice,31.56,4.1,129.4,38.84,Delivered,2023-01-08,1,2023,Vellore
order_01719,farmer_0039,consumer_0195,Lady Finger,39.79,73.1,2908.65,856.12,Delivered,2023-01-08,1,2023,Chennai
order_01501,farmer_0020,consumer_0176,Tomato,32.96,25.3,833.89,259.05,Delivered,2023-01-08,1,2023,Erode
order_02935,farmer_0013,consumer_0194,Cabbage,21.99,34.1,749.86,274.65,Delivered,2023-01-08,1,2023,Erode
order_01168,farmer_0002,consumer_0118,Tomato,36.65,12.7,465.45,111.57,Delivered,2023-01-08,1,2023,Tirunelveli
order_01599,farmer_0035,consumer_0196,Coconut,29.86,2.9,86.59,27.18,On the way,2023-01-08,1,2023,Trichy
order_02068,farmer_0029,consumer_0040,Rice,33.56,12.4,416.14,154.5,Delivered,2023-01-08,1,2023,Salem
order_02252,farmer_0036,consumer_0168,Coconut,26.53,7.3,193.67,44.99,Delivered,2023-01-09,1,2023,Coimbatore
order_02012,farmer_0047,consumer_0163,Coconut,27.43,35.9,984.74,210.31,On the way,2023-01-09,1,2023,Coimbatore
order_01708,farmer_0010,consumer_0026,Groundnut,74.16,20.7,1535.11,559.95,On the way,2023-01-09,1,2023,Thanjavur
order_00544,farmer_0011,consumer_0190,Onion,39.97,124.1,4960.28,1244.75,Delivered,2023-01-09,1,2023,Salem
order_02401,farmer_0013,consumer_0002,Rice,31.45,20.5,644.73,232.59,Delivered,2023-01-10,1,2023,Thanjavur
order_01590,farmer_0012,consumer_0134,Groundnut,67.92,14.7,998.42,268.2,On the way,2023-01-10,1,2023,Coimbatore
order_00856,farmer_0050,consumer_0050,Cauliflower,41.9,18.7,783.53,281.1,Delivered,2023-01-11,1,2023,Vellore
order_02204,farmer_0028,consumer_0110,Cotton,49.18,37.8,1859.0,436.22,Delivered,2023-01-11,1,2023,Salem
order_02777,farmer_0015,consumer_0113,Lady Finger,42.09,17.5,736.58,157.92,Delivered,2023-01-11,1,2023,Salem
order_00172,farmer_0027,consumer_0169,Banana,42.32,13.4,567.09,159.6,Processing,2023-01-11,1,2023,Madurai
order_01475,farmer_0011,consumer_0139,Tomato,35.11,10.0,351.1,94.65,On the way,2023-01-12,1,2023,Vellore
order_02353,farmer_0037,consumer_0108,Chilli,142.68,26.7,3809.56,1492.26,Delivered,2023-01-12,1,2023,Vellore
order_01841,farmer_0002,consumer_0136,Cabbage,23.28,20.1,467.93,158.61,Delivered,2023-01-12,1,2023,Madurai
order_01260,farmer_0011,consumer_0026,Sugarcane,3.62,17.3,62.63,14.79,Delivered,2023-01-13,1,2023,Dindigul
order_02360,farmer_0032,consumer_0186,Cabbage,23.84,20.5,488.72,125.78,Delivered,2023-01-13,1,2023,Dindigul
order_01762,farmer_0034,consumer_0155,Banana,40.61,10.9,442.65,119.24,Processing,2023-01-13,1,2023,Madurai
order_00361,farmer_0049,consumer_0092,Chilli,136.45,31.6,4311.82,1699.62,Processing,2023-01-14,1,2023,Dindigul
order_02918,farmer_0006,consumer_0180,Lady Finger,36.67,6.8,249.36,73.36,Processing,2023-01-14,1,2023,Chennai
order_01584,farmer_0049,consumer_0111,Sugarcane,3.49,31.5,109.94,35.77,Delivered,2023-01-15,1,2023,Coimbatore
order_01724,farmer_0001,consumer_0173,Cauliflower,47.07,46.5,2188.76,517.45,Delivered,2023-01-15,1,2023,Thanjavur
order_01109,farmer_0042,consumer_0147,Brinjal,27.11,18.1,490.69,102.96,Delivered,2023-01-16,1,2023,Trichy
order_00027,farmer_0042,consumer_0117,Potato,31.24,26.7,834.11,265.84,Delivered,2023-01-16,1,2023,Tirunelveli
order_02283,farmer_0008,consumer_0164,Potato,33.28,94.1,3131.65,1122.1,Delivered,2023-01-16,1,2023,Vellore
order_00513,farmer_0019,consumer_0069,Lady Finger,43.91,13.0,570.83,218.65,Delivered,2023-01-16,1,2023,Thanjavur
order_02754,farmer_0033,consumer_0195,Brinjal,25.61,7.0,179.27,64.82,Delivered,2023-01-17,1,2023,Thanjavur
order_01996,farmer_0001,consumer_0056,Banana,39.43,17.2,678.2,220.26,Delivered,2023-01-17,1,2023,Dindigul
order_02635,farmer_0039,consumer_0109,Cabbage,23.28,26.5,616.92,154.07,Delivered,2023-01-17,1,2023,Trichy
order_01381,farmer_0011,consumer_0136,Brinjal,27.8,7.0,194.6,45.9,Delivered,2023-01-17,1,2023,Madurai
order_01393,farmer_0029,consumer_0034,Onion,37.47,26.8,1004.2,401.22,Delivered,2023-01-17,1,2023,Chennai
order_01462,farmer_0034,consumer_0084,Banana,44.18,54.8,2421.06,534.56,Delivered,2023-01-18,1,2023,Trichy
order_02538,farmer_0014,consumer_0070,Banana,41.16,53.4,2197.94,705.36,Delivered,2023-01-18,1,2023,Tirunelveli
order_01919,farmer_0037,consumer_0116,Rice,34.53,8.1,279.69,66.15,Delivered,2023-01-19,1,2023,Tirunelveli
order_02546,farmer_0043,consumer_0175,Groundnut,63.32,28.1,1779.29,440.4,Delivered,2023-01-19,1,2023,Coimbatore
order_02581,farmer_0041,consumer_0176,Cauliflower,40.88,4.0,163.52,46.85,Delivered,2023-01-20,1,2023,Vellore
order_01220,farmer_0022,consumer_0197,Sugarcane,3.47,4.2,14.57,4.65,Delivered,2023-01-20,1,2023,Vellore
order_00395,farmer_0018,consumer_0049,Sugarcane,3.84,19.8,76.03,21.53,Delivered,2023-01-21,1,2023,Erode
order_01397,farmer_0028,consumer_0078,Rice,34.13,11.0,375.43,78.31,Delivered,2023-01-21,1,2023,Tirunelveli
order_01417,farmer_0017,consumer_0105,Cauliflower,41.27,1.6,66.03,16.24,On the way,2023-01-21,1,2023,Erode
order_01815,farmer_0047,consumer_0198,Chilli,130.19,13.7,1783.6,470.08,Delivered,2023-01-21,1,2023,Madurai
order_00106,farmer_0013,consumer_0002,Potato,28.8,32.2,927.36,221.79,Delivered,2023-01-22,1,2023,Dindigul
order_00121,farmer_0006,consumer_0186,Cotton,57.93,7.7,446.06,108.62,Delivered,2023-01-22,1,2023,Salem
order_01419,farmer_0050,consumer_0123,Cauliflower,43.33,32.9,1425.56,409.86,Delivered,2023-01-22,1,2023,Dindigul
