farmer_id,avg_rating,total_reviews,positive_pct,negative_pct,avg_compound,reputation_score
farmer_0001,3.9,20,0.8,0.15,0.52,0.782
farmer_0002,3.621,29,0.552,0.414,0.242,0.652
farmer_0003,3.357,14,0.643,0.286,0.24,0.653
farmer_0004,3.6,15,0.667,0.267,0.405,0.701
farmer_0005,3.438,16,0.625,0.312,0.278,0.659
farmer_0006,3.263,19,0.526,0.368,0.185,0.603
farmer_0007,3.05,20,0.4,0.6,0.047,0.53
farmer_0008,4.4,15,0.933,0.067,0.622,0.882
farmer_0009,3.652,23,0.565,0.348,0.249,0.66
farmer_0010,3.64,25,0.6,0.32,0.299,0.674
farmer_0011,3.8,20,0.7,0.15,0.38,0.728
farmer_0012,3.444,18,0.5,0.444,0.213,0.616
farmer_0013,3.562,16,0.5,0.375,0.215,0.628
farmer_0014,3.409,22,0.591,0.273,0.3,0.648
farmer_0015,3.8,25,0.76,0.24,0.413,0.749
farmer_0016,4.125,16,0.75,0.125,0.509,0.788
farmer_0017,4.105,19,0.737,0.263,0.438,0.775
farmer_0018,3.304,23,0.478,0.435,0.16,0.59
farmer_0019,3.842,19,0.789,0.158,0.497,0.771
farmer_0020,3.571,14,0.643,0.357,0.252,0.675
farmer_0021,3.714,21,0.714,0.286,0.321,0.718
farmer_0022,3.682,22,0.727,0.273,0.406,0.727
farmer_0023,3.571,21,0.619,0.333,0.275,0.67
farmer_0024,4.211,19,0.789,0.211,0.456,0.803
farmer_0025,3.8,15,0.533,0.267,0.331,0.673
farmer_0026,3.852,27,0.704,0.148,0.407,0.737
farmer_0027,3.083,24,0.417,0.458,0.083,0.542
farmer_0028,3.542,24,0.542,0.375,0.262,0.643
farmer_0029,3.536,28,0.607,0.25,0.288,0.665
farmer_0030,3.615,26,0.654,0.346,0.303,0.688
farmer_0031,3.56,25,0.56,0.32,0.26,0.65
farmer_0032,3.625,16,0.562,0.25,0.306,0.662
farmer_0033,4.0,20,0.7,0.25,0.395,0.75
farmer_0034,3.438,16,0.438,0.375,0.163,0.591
farmer_0035,3.727,11,0.636,0.364,0.329,0.696
farmer_0036,3.364,22,0.545,0.409,0.234,0.623
farmer_0037,3.773,22,0.636,0.273,0.301,0.698
farmer_0038,4.067,15,0.667,0.2,0.443,0.751
farmer_0039,3.739,23,0.609,0.391,0.302,0.687
farmer_0040,3.917,12,0.667,0.25,0.36,0.728
farmer_0041,3.929,14,0.786,0.214,0.393,0.768
farmer_0042,3.947,19,0.789,0.211,0.452,0.777
farmer_0043,3.556,18,0.611,0.278,0.368,0.676
farmer_0044,3.692,26,0.731,0.231,0.426,0.731
farmer_0045,3.1,30,0.5,0.433,0.136,0.574
farmer_0046,2.885,26,0.423,0.538,0.002,0.516
farmer_0047,3.647,17,0.529,0.353,0.186,0.642
farmer_0048,3.45,20,0.65,0.35,0.288,0.669
farmer_0049,3.895,19,0.789,0.211,0.51,0.777
farmer_0050,3.786,14,0.786,0.214,0.422,0.757
